year,month,day,hour,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
2015,6,1,0,19.0,38.0,1000.0,162.0,28.9,995.2,16.5,0.0,W,3.4,9
2015,11,23,2,4.0,35.0,1100.0,21.0,-2.7,1028.1,-4.9,0.0,S,0.2,5
2016,2,26,19,18.0,63.0,1000.0,38.0,3.9,1016.6,-13.0,0.0,WSW,0.6,0
2016,8,11,21,7.0,28.0,900.0,114.0,32.6,1001.7,26.4,0.0,SSW,1.2,4
2014,6,9,4,2.0,55.0,500.0,15.0,14.7,1000.1,13.9,0.0,N,0.8,3
2013,6,1,9,26.0,39.0,1300.0,74.0,29.2,1000.8,0.8,0.0,NNE,1.6,11
2015,12,31,9,13.0,35.0,1200.0,13.0,-4.6,1025.2,-10.4,0.0,SW,0.3,2
2016,10,29,6,2.0,60.0,400.0,2.0,1.4,1029.5,-2.0,0.0,W,0.7,0
2016,4,8,10,2.0,5.0,300.0,68.0,18.1,1007.0,-18.3,0.0,WSW,3.5,6
2016,12,10,2,2.0,13.0,700.0,25.0,-6.3,1021.0,-11.2,0.0,NW,1.7,6
2015,8,4,13,2.0,47.0,500.0,188.0,32.3,996.5,14.4,0.0,SSW,1.9,4
2014,8,2,1,4.0,61.0,1000.0,22.0,26.3,1001.0,24.3,0.0,E,1.4,7
2015,9,18,18,3.0,49.0,500.0,116.0,26.4,1011.1,14.2,0.0,ENE,1.4,0
2015,4,27,5,10.0,34.0,800.0,83.0,18.5,1002.1,11.8,0.0,E,1.3,7
2014,6,11,15,2.0,3.0,200.0,110.0,29.7,998.4,12.6,0.0,SSW,1.9,2
2016,9,28,4,2.0,13.0,200.0,27.0,11.975,1018.5,-0.3,0.0,NW,1.1,1
2016,2,10,10,24.0,22.0,1000.0,51.0,4.8,1009.9,-12.7,0.0,SE,1.1,2
2015,5,14,15,4.0,18.0,300.0,130.0,25.0,1002.7,1.1,0.0,WNW,2.4,0
2015,1,29,21,10.0,39.0,400.0,52.0,-1.0,1025.0,-20.6,0.0,NNE,3.0,7
2015,5,29,6,2.0,36.0,900.0,54.0,20.1,1001.1,18.0,0.2,ESE,0.7,4
2015,10,10,3,2.0,16.0,200.0,33.0,10.4,1011.6,-5.2,0.0,NW,2.5,9
2016,10,7,10,2.0,47.0,2300.0,8.0,12.7,1016.0,11.9,1.0,ESE,2.0,9
2016,6,16,11,3.0,12.0,100.0,105.0,32.3,990.0,12.0,0.0,NW,3.5,2
2015,9,23,23,2.0,96.0,1000.0,28.0,19.9,1005.6,16.5,0.0,ESE,1.1,3
2015,1,9,16,7.0,28.0,300.0,70.0,6.0,1020.0,-18.0,0.0,NW,1.8,7
2013,11,15,10,23.0,91.0,3200.0,5.9976,13.4,1010.2,-5.3,0.0,ESE,0.7,5
2016,1,16,5,68.0,78.0,2800.0,9.0,-3.4,1017.6,-11.6,0.0,WSW,0.4,7
2016,9,28,17,2.0,22.0,400.0,64.0,20.1,1014.0,0.9,0.0,SE,1.0,1
2015,11,23,14,16.0,24.0,600.0,51.0,-1.5,1033.5,-8.7,0.0,ENE,2.1,3
2014,8,29,18,3.0,44.0,1100.0,173.0,24.6,1008.4,17.6,0.0,SW,0.7,11
2016,7,6,16,4.0,16.0,500.0,228.0,33.3,1002.9,15.8,0.0,SSW,2.5,5
2013,10,2,4,5.0,42.0,100.0,24.0,14.6,1017.4,2.1,0.0,N,1.6,4
2013,6,6,10,8.0,50.0,2799.0,3.0,19.2,1006.7,18.5,0.0,E,1.1,7
2016,7,15,17,2.0,46.0,700.0,68.0,21.3,995.6,19.0,0.0,N,2.4,5
2016,9,5,13,2.0,12.0,500.0,102.0,30.6,1005.8,12.9,0.0,NW,3.2,3
2015,4,17,7,10.0,83.0,600.0,4.0,10.9,1005.1,0.0,0.0,ENE,0.9,0
2015,10,9,18,2.0,14.0,300.0,47.0,14.7,1008.2,-4.1,0.0,N,3.3,8
2014,8,12,16,9.0,23.0,900.0,221.0,31.5,1000.1,11.8,0.0,SE,1.5,7
2016,4,23,16,5.0,15.0,300.0,123.0,21.2,1008.5,-7.4,0.0,SSW,3.4,9
2013,9,15,15,14.0,19.0,400.0,100.0,26.1,1003.5,4.5,0.0,SW,0.8,6
2015,2,17,13,10.0,34.0,300.0,59.0,9.0,1015.0,-11.6,0.0,NE,1.8,10
2013,9,20,14,3.4272,21.7618,300.0,97.0,26.2,1008.6,10.8,0.0,ENE,1.1,10
2015,5,13,13,7.0,97.0,900.0,99.0,27.7,989.0,7.5,0.0,SSW,1.4,3
2015,5,20,6,2.0,10.0,300.0,50.0,14.4,1007.8,4.7,0.0,NNW,0.9,6
2016,11,21,22,4.0,13.0,400.0,57.0,-3.4,1033.8,-17.4,0.0,NW,4.7,4
2015,11,2,17,8.0,55.0,600.0,59.0,17.6,1016.0,-3.2,0.0,SSW,2.1,3
2014,9,25,5,2.0,17.0,900.0,6.0,14.0,1008.6,13.5,0.0,WSW,0.5,6
2013,3,31,5,10.0,80.0,1399.0,2.0,4.5,1016.0,2.2,0.0,SSW,1.7,0
